PacketType,PayloadLen,DeviceID,Timestamp,PacketID,accel,Flags,Battery,CRC,time
2.0,24.0,1.0,6970.0,56.0,"[0.0, 0.0, 0.0]",3.0,0.0,198.0,0.452
2.0,24.0,3.0,6971.0,56.0,"[0.0, 0.0, 0.0]",3.0,0.0,34.0,0.453
2.0,24.0,1.0,6976.0,57.0,"[0.0, 0.0, 0.0]",3.0,0.0,166.0,0.458
2.0,24.0,3.0,6977.0,57.0,"[0.0, 0.0, 0.0]",3.0,0.0,66.0,0.459
2.0,24.0,2.0,6978.0,57.0,"[0.0, 0.0, 0.0]",3.0,0.0,164.0,0.46
2.0,24.0,1.0,6987.0,57.0,"[0.0, 0.0, 0.0]",3.0,0.0,164.0,0.469
2.0,24.0,3.0,6988.0,58.0,"[0.0, 0.0, 0.0]",3.0,0.0,191.0,0.47
2.0,24.0,2.0,6989.0,58.0,"[0.0, 0.0, 0.0]",3.0,0.0,42.0,0.471
2.0,24.0,1.0,7034.0,59.0,"[0.0, 0.0, 0.0]",3.0,0.0,230.0,0.516
2.0,24.0,2.0,7035.0,59.0,"[0.0, 0.0, 0.0]",3.0,0.0,45.0,0.517
2.0,24.0,3.0,7036.0,59.0,"[0.0, 0.0, 0.0]",3.0,0.0,45.0,0.518
2.0,24.0,1.0,7039.0,60.0,"[0.0, 0.0, 0.0]",3.0,0.0,72.0,0.521
2.0,24.0,3.0,7041.0,60.0,"[0.0, 0.0, 0.0]",3.0,0.0,34.0,0.523
2.0,24.0,2.0,7042.0,60.0,"[0.0, 0.0, 0.0]",3.0,0.0,196.0,0.524
2.0,24.0,1.0,7046.0,61.0,"[0.0, 0.0, 0.0]",3.0,0.0,117.0,0.528
2.0,24.0,2.0,7047.0,61.0,"[0.0, 0.0, 0.0]",3.0,0.0,190.0,0.529
2.0,24.0,3.0,7048.0,61.0,"[0.0, 0.0, 0.0]",3.0,0.0,117.0,0.53
2.0,24.0,2.0,7051.0,62.0,"[0.0, 0.0, 0.0]",3.0,0.0,249.0,0.533
2.0,24.0,3.0,7056.0,62.0,"[0.0, 0.0, 0.0]",3.0,0.0,69.0,0.538
2.0,24.0,1.0,7058.0,62.0,"[0.0, 0.0, 0.0]",3.0,0.0,104.0,0.54
2.0,24.0,1.0,7062.0,63.0,"[0.0, 0.0, 0.0]",3.0,0.0,168.0,0.544
2.0,24.0,2.0,7063.0,63.0,"[0.0, 0.0, 0.0]",3.0,0.0,99.0,0.545
2.0,24.0,3.0,7064.0,63.0,"[0.0, 0.0, 0.0]",3.0,0.0,168.0,0.546
2.0,24.0,1.0,7068.0,64.0,"[0.0, 0.0, 0.0]",3.0,0.0,216.0,0.55
2.0,24.0,2.0,7069.0,64.0,"[0.0, 0.0, 0.0]",3.0,0.0,19.0,0.551
2.0,24.0,3.0,7070.0,64.0,"[0.0, 0.0, 0.0]",3.0,0.0,245.0,0.552
2.0,24.0,2.0,7074.0,65.0,"[0.0, 0.0, 0.0]",3.0,0.0,101.0,0.556
2.0,24.0,1.0,7075.0,65.0,"[0.0, 0.0, 0.0]",3.0,0.0,174.0,0.557
2.0,24.0,3.0,7076.0,65.0,"[0.0, 0.0, 0.0]",3.0,0.0,223.0,0.558
2.0,24.0,2.0,7079.0,66.0,"[0.0, 0.0, 0.0]",3.0,0.0,83.0,0.561
2.0,24.0,3.0,7080.0,66.0,"[0.0, 0.0, 0.0]",3.0,0.0,152.0,0.562
2.0,24.0,1.0,7081.0,66.0,"[0.0, 0.0, 0.0]",3.0,0.0,124.0,0.563
2.0,24.0,1.0,7085.0,67.0,"[0.0, 0.0, 0.0]",3.0,0.0,188.0,0.567
